地区,总人口(年末)(万人),城镇人口(万人),城镇人口比重,乡村人口(万人),乡村人口比重,出生率,死亡率,自然增长率,年份
全国,140967,93267,66.16,47700,33.84,6.39,7.87,-1.48,2023
北京,2186,1920,87.93,266,12.17,5.63,6.13,-0.50,2023
天津,1364,1166,85.49,198,14.51,4.47,7.04,-2.57,2023
河北,7393,4641,62.77,2762,37.23,5.54,8.33,-2.79,2023
山西,3466,2252,64.97,1214,35.03,6.13,8.38,-2.25,2023
内蒙古,2396,1667,69.58,729,30.42,5.00,8.42,-3.42,2023
辽宁,4182,3074,73.51,1108,26.49,4.06,9.69,-5.63,2023
吉林,2339,1514,64.73,825,35.27,3.76,9.17,-5.41,2023
黑龙江,3062,2055,67.11,1007,32.89,2.92,9.84,-6.92,2023
上海,2487,2225,89.46,262,10.54,3.95,6.37,-2.42,2023
江苏,8526,6398,75.04,2128,24.96,4.81,7.55,-2.74,2023
浙江,6627,4919,74.23,1708,25.77,5.80,6.66,-0.86,2023
安徽,6121,3765,61.51,2356,38.49,6.45,8.56,-2.11,2023
福建,4183,2972,71.04,1211,28.96,6.81,6.95,-0.14,2023
江西,4515,2850,63.13,1665,36.87,6.52,7.36,-0.84,2023
山东,10123,6634,66.53,3489,34.47,6.01,8.19,-2.18,2023
河南,9815,5701,58.08,4114,41.92,7.06,8.00,-0.94,2023
湖北,5838,3822,65.47,2016,34.53,5.48,8.63,-3.15,2023
湖南,6568,4017,61.16,2551,38.84,6.00,9.08,-3.08,2023
广东,12706,9583,75.42,3123,24.58,8.12,5.36,2.76,2023
广西,5027,2854,56.78,2173,43.22,8.04,7.62,0.42,2023
海南,1043,651,62.46,392,37.54,9.28,6.47,2.81,2023
重庆,3191,2287,71.67,904,28.33,5.58,8.90,-3.32,2023
四川,8368,4978,59.49,3390,40.51,6.32,9.44,-3.12,2023
贵州,3865,2162,55.94,1703,44.06,10.65,7.77,2.88,2023
云南,4673,2473,52.92,2200,47.08,8.22,8.61,-0.39,2023
西藏,365,142,38.88,223,61.12,13.72,5.76,7.96,2023
陕西,3952,2575,65.16,1377,34.84,6.83,8.14,-1.31,2023
甘肃,2465,1368,55.49,1097,44.51,7.71,9.04,-1.33,2023
青海,594,373,62.80,221,37.20,9.25,7.57,1.68,2023
宁夏,729,491,67.31,238,32.69,10.02,6.59,3.43,2023
新疆,2598,1539,59.24,1059,40.76,7.10,6.17,0.93,2023
全国,141175,92071,65.22,49104,34.78,6.77,7.37,-0.60,2022
北京,2184,1913,87.57,271,12.43,5.67,5.72,-0.05,2022
天津,1363,1160,85.11,203,14.89,4.75,6.43,-1.68,2022
河北,7420,4575,61.65,2845,38.35,6.09,7.80,-1.71,2022
山西,3481,2226,63.95,1255,36.04,6.75,7.73,-0.98,2022
内蒙古,2401,1647,68.60,754,31.40,5.58,7.83,-2.25,2022
辽宁,4197,3064,73.00,1133,27.00,4.08,9.04,-4.96,2022
吉林,2348,1496,63.72,852,36.28,4.32,8.39,-4.07,2022
黑龙江,3099,2052,66.21,1047,33.79,3.34,9.09,-5.75,2022
上海,2475,2211,89.33,264,10.67,4.35,5.96,-1.61,2022
江苏,8515,6337,74.42,2178,25.58,5.23,7.04,-1.81,2022
浙江,6577,4826,73.39,1751,26.62,6.28,6.24,0.04,2022
安徽,6127,3686,60.15,2441,39.85,7.16,6.09,-0.93,2022
福建,4188,2937,70.11,1251,29.89,7.07,6.52,0.55,2022
江西,4528,2811,62.07,1717,37.93,7.19,6.94,0.25,2022
山东,10163,6559,64.54,3604,35.46,6.71,7.64,-0.93,2022
河南,9872,5633,57.07,4239,42.93,7.42,7.50,-0.08,2022
湖北,5844,3779,64.67,2065,35.33,6.08,8.09,-2.01,2022
湖南,6604,3963,60.31,2621,39.69,6.23,8.54,-2.31,2022
广东,12657,9465,74.79,3192,25.21,8.30,4.97,3.33,2022
广西,5047,2809,55.65,2238,44.35,8.51,7.08,1.43,2022
海南,1027,631,61.49,396,38.51,8.60,6.16,2.44,2022
重庆,3213,2280,70.96,933,29.04,5.98,8.09,-2.11,2022
四川,8374,4886,58.35,3488,41.65,6.39,9.04,-2.65,2022
贵州,3856,2114,54.81,1742,45.19,11.03,7.32,3.71,2022
云南,4693,2427,51.72,2266,48.28,8.14,8.21,-0.07,2022
西藏,364,136,37.39,228,62.61,14.24,5.48,8.76,2022
陕西,3956,2532,64.02,1424,35.98,7.36,7.64,-0.28,2022
甘肃,2492,1351,54.19,1141,45.81,8.47,8.51,-0.04,2022
青海,595,366,61.43,229,38.57,10.60,7.23,3.37,2022
宁夏,728,483,66.34,246,33.66,10.60,6.19,4.41,2022
新疆,2587,1498,57.89,1089,42.11,6.53,5.76,0.77,2022
全国,141260,91425,64.72,49835,35.28,7.52,7.18,0.34,2021
北京,2189,1916,87.50,273,12.52,6.35,5.39,0.96,2021
天津,1373,1165,84.88,208,15.15,5.30,6.23,-0.93,2021
河北,7448,4554,61.14,2894,38.86,7.15,7.58,-0.43,2021
山西,3480,2207,63.42,1273,36.58,7.06,7.32,-0.26,2021
内蒙古,2400,1637,68.21,763,31.79,6.26,7.54,-1.28,2021
辽宁,4229,3079,72.81,1150,27.19,4.71,8.89,-4.18,2021
吉林,2375,1505,63.36,870,36.63,4.70,8.08,-3.38,2021
黑龙江,3125,2053,65.69,1072,34.30,3.59,8.70,-5.11,2021
上海,2489,2223,89.30,266,10.69,4.67,5.59,-0.92,2021
江苏,8505,6289,73.94,2216,26.06,5.65,6.77,-1.12,2021
浙江,6540,4752,72.66,1788,27.34,6.90,5.90,1.00,2021
安徽,6113,3631,59.39,2482,40.60,8.05,8.00,0.05,2021
福建,4187,2918,69.70,1269,30.31,8.26,6.28,1.98,2021
江西,4517,2776,61.46,1741,38.54,8.34,5.71,1.63,2021
山东,10170,6503,63.94,3667,36.06,7.38,7.36,0.02,2021
河南,9883,5579,56.45,4304,43.55,8.00,7.36,0.64,2021
湖北,5830,3736,64.09,2094,35.92,6.98,7.86,-0.88,2021
湖南,6622,3954,59.71,2668,40.29,7.13,8.28,-1.15,2021
广东,12684,9466,74.63,3218,25.37,9.35,4.83,4.52,2021
广西,5037,2774,55.08,2263,44.93,9.68,6.80,2.88,2021
海南,1020,622,60.97,398,39.02,9.74,6.01,3.73,2021
重庆,3212,2259,70.32,953,29.67,6.49,8.04,-1.55,2021
四川,8372,4841,57.82,3531,42.18,6.85,8.74,-1.89,2021
贵州,3852,2093,54.33,1759,45.66,12.17,7.19,4.98,2021
云南,4690,2394,51.05,2296,48.96,9.35,8.12,1.23,2021
西藏,366,134,36.61,232,63.39,14.17,5.47,8.70,2021
陕西,3954,2516,63.63,1438,36.37,7.89,7.38,0.61,2021
甘肃,2490,1328,53.33,1162,46.67,9.68,8.26,1.42,2021
青海,594,362,61.02,232,39.06,11.22,6.91,4.31,2021
宁夏,725,479,66.04,246,33.93,11.62,6.09,5.53,2021
新疆,2589,1482,57.26,1107,42.76,6.16,5.60,0.56,2021
全国,140005,84843,60.60,55162,39.40,10.48,7.14,3.34,2019
北京,2154,1865,86.60,289,13.40,8.12,5.49,2.63,2019
天津,1662,1304,83.48,258,16.52,6.73,5.30,1.43,2019
河北,7592,4374,57.62,3218,42.38,10.83,6.12,4.71,2019
山西,3729,2221,59.55,1508,40.45,9.12,5.85,3.27,2019
内蒙古,2540,1609,63.37,931,36.63,8.23,5.66,2.57,2019
辽宁,4352,2964,68.11,1388,31.89,6.45,7.25,-0.80,2019
吉林,2691,1568,58.27,1123,41.73,6.05,6.90,-0.85,2019
黑龙江,3751,2284,60.90,1467,39.10,5.73,6.74,-1.01,2019
上海,2428,2144,88.30,284,11.70,7.00,5.50,1.50,2019
江苏,8070,6698,70.61,2372,29.39,9.12,7.04,2.08,2019
浙江,5850,4095,70.00,1755,30.00,10.51,5.52,4.99,2019
安徽,6366,3553,55.81,2813,44.19,12.03,6.04,5.99,2019
福建,3973,2642,66.50,1331,33.50,12.90,6.10,6.80,2019
江西,4666,2679,57.42,1987,42.58,12.59,6.03,6.56,2019
山东,10070,6194,61.51,3876,38.49,11.77,7.50,4.27,2019
河南,9640,5129,53.21,4511,46.79,11.02,6.84,4.18,2019
湖北,5927,3615,61.00,2312,39.00,11.35,7.08,4.27,2019
湖南,6918,3959,57.22,2959,42.78,10.39,7.28,3.11,2019
广东,11621,8226,71.40,3295,28.60,12.54,4.46,8.08,2019
广西,4960,2534,51.09,2426,48.91,13.31,6.14,7.17,2019
海南,945,560,69.23,385,40.77,12.87,6.11,6.76,2019
重庆,3124,2087,66.80,1037,33.20,10.48,7.57,2.91,2019
四川,8375,4505,53.79,3870,46.21,10.70,7.09,3.61,2019
贵州,3623,1776,49.02,1847,50.98,13.65,6.95,6.70,2019
云南,4858,2376,48.91,2482,51.09,12.63,6.20,6.43,2019
西藏,351,111,31.54,240,68.46,14.60,4.46,10.14,2019
陕西,3876,2304,69.43,1572,40.57,10.55,6.28,4.27,2019
甘肃,2647,1284,48.49,1363,51.51,10.60,6.75,3.85,2019
青海,608,337,55.52,271,44.48,13.66,6.08,7.58,2019
宁夏,695,416,59.86,279,40.14,13.72,5.69,8.03,2019
新疆,2523,1309,51.87,1214,48.13,8.14,4.45,3.69,2019
全国,139538,83137,59.58,56401,40.42,10.94,7.13,3.81,2018
北京,2154,1863,86.50,291,13.50,8.24,6.58,1.66,2018
天津,1560,1297,83.15,263,16.85,6.67,5.42,1.25,2018
河北,7556,4264,56.43,3292,43.57,11.26,6.36,4.88,2018
山西,3718,2172,58.41,1546,41.59,9.63,5.32,4.31,2018
内蒙古,2534,1589,62.71,945,37.29,8.35,5.95,2.40,2018
辽宁,4359,2968,68.10,1391,31.90,6.39,7.39,-1.00,2018
吉林,2704,1556,57.53,1148,42.47,6.62,6.26,0.36,2018
黑龙江,3773,2268,60.10,1505,39.90,5.98,6.67,-0.69,2018
上海,2424,2136,88.10,288,11.90,7.20,5.40,1.80,2018
江苏,8051,5604,69.61,2447,30.39,9.32,7.03,2.29,2018
浙江,5737,3953,68.90,1784,31.10,11.02,5.58,5.44,2018
安徽,6324,3459,54.69,2865,45.31,12.41,5.96,6.45,2018
福建,3941,2594,65.82,1347,34.18,13.20,6.20,7.00,2018
江西,4648,2604,56.02,2044,43.98,13.43,6.06,7.37,2018
山东,10047,6147,61.18,3900,38.82,13.26,7.18,6.08,2018
河南,9605,4967,51.71,4638,48.29,11.72,6.80,4.92,2018
湖北,5917,3568,60.30,2349,39.70,11.54,7.00,4.54,2018
湖南,6899,3865,56.02,3034,43.98,12.19,7.08,5.11,2018
广东,11346,8022,70.70,3324,29.30,12.79,4.55,8.24,2018
广西,4926,2474,50.22,2452,49.78,14.12,5.96,8.16,2018
海南,934,552,59.06,382,40.94,14.48,6.01,8.47,2018
重庆,3102,2032,65.50,1070,34.50,11.02,7.54,3.48,2018
四川,8341,4362,52.29,3979,47.71,11.05,7.01,4.04,2018
贵州,3600,1711,47.52,1889,52.48,13.90,6.85,7.05,2018
云南,4830,2309,47.81,2521,52.19,13.19,6.32,6.87,2018
西藏,344,107,31.14,237,68.86,15.22,4.58,10.64,2018
陕西,3864,2246,58.13,1618,41.87,10.67,6.24,4.43,2018
